,method,name
2115,    public void <extra_id_0>(CakeLayer layer) {        this.layers.add(layer);    }    @Override,addLayer
1286,"  private void <extra_id_0>() {    lowestFrequencyChar().thenAccept(        charFrequency -> {          LOGGER.info(""Char with lowest frequency is: {}"", charFrequency);          taskCompleted();        }    );  }  /*   * Calculate the line count and when that promise is fulfilled, consume the result   * in a Consumer<Integer>   */",calculateLowestFrequencyChar
2412,  public static Coin <extra_id_0>(CoinType type) {    return type.getConstructor().get();  },getCoin
2476,  public final FluentIterable<E> <extra_id_0>(int count) {    var iterator = iterator();    var currentCount = 0;    while (iterator.hasNext()) {      iterator.next();      if (currentCount >= count) {        iterator.remove();      }      currentCount++;    }    return this;  }  /**   * Can be used to collect objects from the Iterable. Is a terminating operation.   *   * @return an option of the last object of the Iterable   */  @Override,first
780,"  void <extra_id_0>() {    final var royalty = mock(Royalty.class);    final var servant = new Servant(""test"");    servant.giveCompliments(royalty);    verify(royalty).receiveCompliments();    verifyNoMoreInteractions(royalty);  }  @Test",testGiveCompliments
3862,"  void <extra_id_0>() {    var inventoryController = new InventoryController();    var numberOfInventories = inventoryController.getProductInventories();    assertEquals(5, numberOfInventories);  }",testGetProductInventories
1107,  void <extra_id_0>() {    var stringPriorityMessageQueue = new PriorityMessageQueue<>(new Integer[2]);    assertTrue(stringPriorityMessageQueue.isEmpty());    stringPriorityMessageQueue.add(1);    stringPriorityMessageQueue.remove();    assertTrue(stringPriorityMessageQueue.isEmpty());  }  @Test,isEmpty
632,  String <extra_id_0>();  /*   * Unique ID of the particular service   */,getName
3828,  void <extra_id_0>() {    var zoom = new Zoom();    var mockVisitor = mock(ConfigureForDosVisitor.class);    zoom.accept(mockVisitor);    verify((ZoomVisitor) mockVisitor).visit(eq(zoom));  }  @Test,testAcceptForDos
3436,"    void <extra_id_0>() throws Exception {        for (double d = 0.1; d < 2; d = d + 0.1) {            paymentTime *= d;            queueTaskTime *= d;            messageTime *= d;            employeeTime *= d;            queueTime *= d;            Commander c = buildCommanderObjectUnknownException();            var order = new Order(new User(""K"", ""J""), ""pen"", 1f);            for (Order.MessageSent ms : Order.MessageSent.values()) {                c.placeOrder(order);                assertFalse(StringUtils.isBlank(order.id));            }        }    }    @Test",testPlaceOrderUnknownException
