,method,name
2385,"  void <extra_id_0>(){    // personFinderInstance    PersonFinder personFinder = new PersonFinder();    // init database for our personFinder    PersonDbSimulatorImplementation db = new PersonDbSimulatorImplementation();    // Dummy persons    Person person1 = new Person(1, ""John"", 27304159);    Person person2 = new Person(2, ""Thomas"", 42273631);    Person person3 = new Person(3, ""Arthur"", 27489171);    Person person4 = new Person(4, ""Finn"", 20499078);    Person person5 = new Person(5, ""Michael"", 40599078);    // Add data to the database.    db.insert(person1);    db.insert(person2);    db.insert(person3);    db.insert(person4);    db.insert(person5);    personFinder.setDb(db);    Assertions.assertEquals(person1,personFinder.getPerson(1),""Find person returns incorrect record."");    Assertions.assertEquals(person3,personFinder.getPerson(3),""Find person returns incorrect record."");    Assertions.assertEquals(person2,personFinder.getPerson(2),""Find person returns incorrect record."");    Assertions.assertEquals(person5,personFinder.getPerson(5),""Find person returns incorrect record."");    Assertions.assertEquals(person4,personFinder.getPerson(4),""Find person returns incorrect record."");  }  @Test",personFoundInDB
270,"  void <extra_id_0>() {    assertTrue(arithmetic.ifHasZero(-1, 0, 1));  }",testIfHasZero
1795,"  public static void <extra_id_0>(String[] args) {    final var logger = LoggerFactory.getLogger(App.class);    var guard = new Guard();    var thief = new Thief();    //noinspection ConstantConditions    if (guard instanceof Permission) {      guard.enter();    } else {      logger.info(""You have no permission to enter, please leave this area"");    }    //noinspection ConstantConditions    if (thief instanceof Permission) {      thief.steal();    } else {      thief.doNothing();    }  }",main
1440,"  public String <extra_id_0>() {    return String.format(""ParameterObject[type='%s', sortBy='%s', sortOrder='%s']"",        type, sortBy, sortOrder);  }  /**   * Builder for ParameterObject.   */",toString
998,  public abstract boolean <extra_id_0>(Role role);  /**   * Get specific instance associated with this role @see {@link Role}.   *   * @param role         to get   * @param expectedRole instance class expected to get   * @return optional with value if the instance exists and corresponds expected class   */,remRole
2834,"  final SpaceStationMir <extra_id_0>() {    return new SpaceStationMir(1, 2, 3, 4);  }  /**   * Test the constructor parameters   */  @Test",getTestedObject
2561,"  public static void <extra_id_0>(String[] args) {    final List<Long> numbers = Arrays.asList(1L, 3L, 4L, 7L, 8L);    LOGGER.info(""Numbers to be squared and get sum --> {}"", numbers);    final List<SquareNumberRequest> requests =        numbers.stream().map(SquareNumberRequest::new).toList();    var consumer = new Consumer(0L);    // Pass the request and the consumer to fanOutFanIn or sometimes referred as Orchestrator    // function    final Long sumOfSquaredNumbers = FanOutFanIn.fanOutFanIn(requests, consumer);    LOGGER.info(""Sum of all squared numbers --> {}"", sumOfSquaredNumbers);  }",main
1806,"  public static void <extra_id_0>(int[][] matrix) {    //prints out int[][]    for (var ints : matrix) {      for (var j = 0; j < matrix[0].length; j++) {        LOGGER.info(ints[j] + "" "");      }      LOGGER.info("""");    }  }",printMatrix
94,"  public static void <extra_id_0>(String[] args) {    // create some weapons    var enchantedHammer = new Weapon(1, ""enchanted hammer"");    var brokenGreatSword = new Weapon(2, ""broken great sword"");    var silverTrident = new Weapon(3, ""silver trident"");    // create repository    var weaponRepository = new ArmsDealer(new HashMap<String, List<Weapon>>(),            new WeaponDatabase());    // perform operations on the weapons    weaponRepository.registerNew(enchantedHammer);    weaponRepository.registerModified(silverTrident);    weaponRepository.registerDeleted(brokenGreatSword);    weaponRepository.commit();  }",main
2235,"  public static void <extra_id_0>(String[] args) {    var injector = Guice.createInjector(new LotteryTestingModule());    // start new lottery round    var administration = injector.getInstance(LotteryAdministration.class);    administration.resetLottery();    // submit some lottery tickets    var service = injector.getInstance(LotteryService.class);    SampleData.submitTickets(service, 20);    // perform lottery    administration.performLottery();  }",main
